N/A	 Fortnite: Battle	 Build	 Survive!	2018	 Documentary	 N/A)
6	 The Killer Elite	1975	 Action	 Crime	 Thriller	 6.0)
6	 Fear X	2003	 Thriller	 6.0)		
6	 Borderline	1980	 Action	 Drama	 6.0)	
6	 The Ultimate Legacy	2016	 Adventure	 Comedy	 Drama	 Family
5.9	 Hard Rain	1998	 Action	 Crime	 Drama	 5.9)
5.9	 World Trade Center	2006	 Drama	 History	 Thriller	 5.9)
5.9	 Waiting to Exhale	1995	 Comedy	 Drama	 Romance	 5.9)
5.9	 Black Water	2007	 Action	 Adventure	 Drama	 5.9)
5.9	 The Ultimate Life	2013	 Drama	 Romance	 5.9)	
5.9	 Once Upon a Crime...	1992	 Comedy	 Crime	 Mystery	 5.9)
5.9	 The Possession	2012	 Horror	 Mystery	 Thriller	 5.9)
5.9	 American Shaolin	1991	 Action	 5.9)		
5.9	 Earthquake	1974	 Action	 Drama	 Thriller	 5.9)
5.9	 Silent Fall	1994	 Drama	 Mystery	 Thriller	 5.9)
5.9	 Christmas in the Heartland	2018	 Family	 5.9)		
5.8	 I Still See You	2018	 Fantasy	 Horror	 Sci-Fi	 5.8)
5.8	 Species	1995	 Action	 Horror	 Sci-Fi	 5.8)
5.8	 Nacho Libre	2006	 Comedy	 Family	 Sport	 5.8)
5.8	 Gamer	2009	 Action	 Sci-Fi	 Thriller	 5.8)
5.8	 Caveman	1981	 Comedy	 Romance	 5.8)	
5.8	 The Neighbor	2016	 Crime	 Horror	 Thriller	 5.8)
5.8	 Wedding Daze	2004	 Comedy	 Family	 5.8)	
5.8	 "Breakin"	1984	 Comedy	 Drama	 Music	 5.8)
5.8	 Gator	1976	 Action	 Crime	 Drama	 5.8)
5.7	 Khumba	2013	 Animation	 Adventure	 Family	 5.7)
5.7	 Kart Racer	2003	 Comedy	 Drama	 Family	 5.7)
5.7	 Come and Find Me	2016	 Drama	 Mystery	 Thriller	 5.7)
5.7	 Scream Blacula Scream	1973	 Fantasy	 Horror	 5.7)	
5.7	 Mosquito Squadron	1969	 Drama	 War	 5.7)	
5.7	 Escape to Athena	1979	 Action	 Adventure	 Comedy	 5.7)
5.7	 The Land That Time Forgot	1974	 Adventure	 Fantasy	 5.7)	
5.6	 Autumn in New York	2000	 Drama	 Romance	 5.6)	
5.6	 The Accidental Husband	2008	 Comedy	 Romance	 5.6)	
5.6	 12 Rounds	2009	 Action	 Crime	 Thriller	 5.6)
5.6	 The Delta Force	1986	 Action	 Adventure	 Drama	 5.6)
5.6	 "Dont Be Afraid of the Dark"	2010	 Fantasy	 Horror	 Thriller	 5.6)
5.6	 Lady Bloodfight	2016	 Action	 Crime	 Drama	 5.6)
5.6	 The Last Descent	2016	 Drama	 5.6)		
5.6	 "The Preachers Wife"	1996	 Comedy	 Drama	 Fantasy	 5.6)
